Rating;Problem Name;Problem Link;Submission
1600;Sum of LDS;https://codeforces.com/contest/2128/problem/D;https://codeforces.com/contest/2128/submission/331631876
2100;Token Removing;https://codeforces.com/contest/2119/problem/D;https://codeforces.com/contest/2119/submission/330202101
1300;A Good Problem;https://codeforces.com/contest/2119/problem/C;https://codeforces.com/contest/2119/submission/328444321
1200;Line Segments;https://codeforces.com/contest/2119/problem/B;https://codeforces.com/contest/2119/submission/328427320
800;Add or XOR;https://codeforces.com/contest/2119/problem/A;https://codeforces.com/contest/2119/submission/328422409
2100;Modular Sorting;https://codeforces.com/contest/2123/problem/G;https://codeforces.com/contest/2123/submission/327634397
1700;Minimize Fixed Points;https://codeforces.com/contest/2123/problem/F;https://codeforces.com/contest/2123/submission/327123937
1400;MEX Count;https://codeforces.com/contest/2123/problem/E;https://codeforces.com/contest/2123/submission/327001804
1200;Binary String Battle;https://codeforces.com/contest/2123/problem/D;https://codeforces.com/contest/2123/submission/327000271
1000;Prefix Min and Suffix Max;https://codeforces.com/contest/2123/problem/C;https://codeforces.com/contest/2123/submission/326981219
800;Tournament;https://codeforces.com/contest/2123/problem/B;https://codeforces.com/contest/2123/submission/326979087
800;Blackboard Game;https://codeforces.com/contest/2123/problem/A;https://codeforces.com/contest/2123/submission/326978482
1500;Maximum Subarray Sum;https://codeforces.com/contest/2107/problem/C;https://codeforces.com/contest/2107/submission/319285989
1100;Apples in Boxes;https://codeforces.com/contest/2107/problem/B;https://codeforces.com/contest/2107/submission/319129750
800;LRC and VIP;https://codeforces.com/contest/2107/problem/A;https://codeforces.com/contest/2107/submission/319129396
2100;She knows...;https://codeforces.com/contest/2092/problem/E;https://codeforces.com/contest/2092/submission/313922572
2000;Equalization;https://codeforces.com/contest/2075/problem/D;https://codeforces.com/contest/2075/submission/311451814
1500;Two Colors;https://codeforces.com/contest/2075/problem/C;https://codeforces.com/contest/2075/submission/311446434
1300;Array Recoloring;https://codeforces.com/contest/2075/problem/B;https://codeforces.com/contest/2075/submission/311438453
800;To Zero;https://codeforces.com/contest/2075/problem/A;https://codeforces.com/contest/2075/submission/311434056
1800;Palindrome Shuffle;https://codeforces.com/contest/2069/problem/D;https://codeforces.com/contest/2069/submission/307602608
1500;Beautiful Sequence;https://codeforces.com/contest/2069/problem/C;https://codeforces.com/contest/2069/submission/307601169
1200;Set of Strangers;https://codeforces.com/contest/2069/problem/B;https://codeforces.com/contest/2069/submission/307600255
800;Was there an Array?;https://codeforces.com/contest/2069/problem/A;https://codeforces.com/contest/2069/submission/307599336
1900;Eating;https://codeforces.com/contest/2064/problem/D;https://codeforces.com/contest/2064/submission/306408752
1300;Remove the Ends;https://codeforces.com/contest/2064/problem/C;https://codeforces.com/contest/2064/submission/306370833
1100;Variety is Discouraged;https://codeforces.com/contest/2064/problem/B;https://codeforces.com/contest/2064/submission/306357585
800;Brogramming Contest;https://codeforces.com/contest/2064/problem/A;https://codeforces.com/contest/2064/submission/306345202
2300;Bitwise Slides;https://codeforces.com/contest/2067/problem/F;https://codeforces.com/contest/2067/submission/306343719
1900;White Magic;https://codeforces.com/contest/2067/problem/E;https://codeforces.com/contest/2067/submission/306016712
1400;Object Identification;https://codeforces.com/contest/2067/problem/D;https://codeforces.com/contest/2067/submission/305828383
1500;Devyatkino;https://codeforces.com/contest/2067/problem/C;https://codeforces.com/contest/2067/submission/305753824
1200;Two Large Bags;https://codeforces.com/contest/2067/problem/B;https://codeforces.com/contest/2067/submission/305751707
800;Adjacent Digit Sums;https://codeforces.com/contest/2067/problem/A;https://codeforces.com/contest/2067/submission/305746408
800;Minimal Coprime;https://codeforces.com/contest/2063/problem/A;https://codeforces.com/contest/2063/submission/303167499
1600;Kevin and Puzzle;https://codeforces.com/contest/2061/problem/C;https://codeforces.com/contest/2061/submission/302136352
1600;Kevin and Numbers;https://codeforces.com/contest/2061/problem/D;https://codeforces.com/contest/2061/submission/302106235
1100;Kevin and Geometry;https://codeforces.com/contest/2061/problem/B;https://codeforces.com/contest/2061/submission/302063065
800;Kevin and Arithmetic;https://codeforces.com/contest/2061/problem/A;https://codeforces.com/contest/2061/submission/302048510
900;Eating Soup;https://codeforces.com/contest/1163/problem/A;https://codeforces.com/contest/1163/submission/302044346
2000;Scarecrow;https://codeforces.com/contest/2055/problem/D;https://codeforces.com/contest/2055/submission/300764778
1400;The Trail;https://codeforces.com/contest/2055/problem/C;https://codeforces.com/contest/2055/submission/300700010
1000;Crafting;https://codeforces.com/contest/2055/problem/B;https://codeforces.com/contest/2055/submission/300673583
800;Two Frogs;https://codeforces.com/contest/2055/problem/A;https://codeforces.com/contest/2055/submission/300651768
2100;The Number of Pairs;https://codeforces.com/contest/1499/problem/D;https://codeforces.com/contest/1499/submission/299418729
1600;Best Price;https://codeforces.com/contest/2051/problem/E;https://codeforces.com/contest/2051/submission/299397873
1200;Counting Pairs;https://codeforces.com/contest/2051/problem/D;https://codeforces.com/contest/2051/submission/299395051
1000;Preparing for the Exam;https://codeforces.com/contest/2051/problem/C;https://codeforces.com/contest/2051/submission/299393546
800;Journey;https://codeforces.com/contest/2051/problem/B;https://codeforces.com/contest/2051/submission/299392771
800;Preparing for the Olympiad;https://codeforces.com/contest/2051/problem/A;https://codeforces.com/contest/2051/submission/299391735
2700;Nim;https://codeforces.com/contest/2043/problem/F;https://codeforces.com/contest/2043/submission/299303354
2300;Matrix Transformation;https://codeforces.com/contest/2043/problem/E;https://codeforces.com/contest/2043/submission/299292920
1800;Problem about GCD;https://codeforces.com/contest/2043/problem/D;https://codeforces.com/contest/2043/submission/298711445
1600;Sums on Segments;https://codeforces.com/contest/2043/problem/C;https://codeforces.com/contest/2043/submission/298323910
1100;Digits;https://codeforces.com/contest/2043/problem/B;https://codeforces.com/contest/2043/submission/298318210
800;Coin Transformation;https://codeforces.com/contest/2043/problem/A;https://codeforces.com/contest/2043/submission/298317012
2500;Colored Subgraphs;https://codeforces.com/contest/1796/problem/E;https://codeforces.com/contest/1796/submission/293911607
2500;Lucky Country;https://codeforces.com/contest/95/problem/E;https://codeforces.com/contest/95/submission/291882386
1900;Shortest Cycle;https://codeforces.com/contest/1205/problem/B;https://codeforces.com/contest/1205/submission/291851709
2000;Alice's Adventures in Cards;https://codeforces.com/contest/2028/problem/D;https://codeforces.com/contest/2028/submission/291514190
900;Battle for Survive;https://codeforces.com/contest/2013/problem/B;https://codeforces.com/contest/2013/submission/290973081
800;Zhan's Blender;https://codeforces.com/contest/2013/problem/A;https://codeforces.com/contest/2013/submission/290972527
1900;Minimize the Difference;https://codeforces.com/contest/2013/problem/D;https://codeforces.com/contest/2013/submission/290971908
2200;Prefix GCD;https://codeforces.com/contest/2013/problem/E;https://codeforces.com/contest/2013/submission/290964752
1400;Password Cracking;https://codeforces.com/contest/2013/problem/C;https://codeforces.com/contest/2013/submission/290961286
900;Alice's Adventures in ''Chess'';https://codeforces.com/contest/2028/problem/A;https://codeforces.com/contest/2028/submission/290952098
1600;Alice's Adventures in Cutting Cake;https://codeforces.com/contest/2028/problem/C;https://codeforces.com/contest/2028/submission/290948706
1400;Alice's Adventures in Permuting;https://codeforces.com/contest/2028/problem/B;https://codeforces.com/contest/2028/submission/290927581
1900;Tree with Maximum Cost;https://codeforces.com/contest/1092/problem/F;https://codeforces.com/contest/1092/submission/290782283
1800;Genokraken;https://codeforces.com/contest/2032/problem/D;https://codeforces.com/contest/2032/submission/289276287
1400;Trinity;https://codeforces.com/contest/2032/problem/C;https://codeforces.com/contest/2032/submission/289215554
1100;Medians;https://codeforces.com/contest/2032/problem/B;https://codeforces.com/contest/2032/submission/289201608
800;Circuit;https://codeforces.com/contest/2032/problem/A;https://codeforces.com/contest/2032/submission/289187124
1900;Sums of Segments;https://codeforces.com/contest/2026/problem/D;https://codeforces.com/contest/2026/submission/289087404
1500;Action Figures;https://codeforces.com/contest/2026/problem/C;https://codeforces.com/contest/2026/submission/289072990
1300;Black Cells;https://codeforces.com/contest/2026/problem/B;https://codeforces.com/contest/2026/submission/289071873
900;Perpendicular Segments;https://codeforces.com/contest/2026/problem/A;https://codeforces.com/contest/2026/submission/289071036
1700;The Endspeaker (Easy Version);https://codeforces.com/contest/2027/problem/D1;https://codeforces.com/contest/2027/submission/288362734
1500;Add Zeros;https://codeforces.com/contest/2027/problem/C;https://codeforces.com/contest/2027/submission/288161094
1100;Stalin Sort;https://codeforces.com/contest/2027/problem/B;https://codeforces.com/contest/2027/submission/288143752
